Timestamp,Gender,Age,Education level,Field of occupation,Occupation level,Country of Residence,Which of the following mobile phone app uses AI in its operations,Can an AI tool determine if you have risk of Pneumonia by examining your chest x-rays?,"When you try to unlock your mobile phone using a pin, does an underline AI tool make that decision?",Think about the advertisements you see when you are on the internet. Are those selected by AI tools?,Assume that an AI system makes decisions for you in your day-to-day activities. How important is it to know the reasons behind such decisions?,Assume that an AI system makes decisions for you in your day-to-day activities. When do you need an explanation for such a decision?,A person is discharged from the hospital after a hospital stay of more than a week. An AI system predicts that he will be readmitted within the next 30 days.,An online clothing store recommends dresses to its customer with the help of an AI system. Suppose this system recommends the dress in Figure 1,A company decides the salary of its new recruits using an AI system. For one employee the AI systems decided to pay less than $50k per annum. ,An AI system developed to recognize different pets has recognized the animal in Figure 1 as a Cat.,"Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Financial impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Medical impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Legal impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Social posting  impact (fb/ig)]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Time Wasted]",Which kind of explanations about the AI system would you like to see? ,What kind of explanation is more useful for you?,"Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A surveillance system detecting suspicious person at public places.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A smartwatch detecting Atrial fibrillation (a common heart rhythm disorder that elevates stroke risk) in stroke survivors.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A remote monitoring systems in tunnels alerting maintenance requirements.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [An intelligent virtual assistant helping to operate home appliances.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A parking slot recommendation systems in the city area.]",I expect explanations to be,Are there any comments or concerns you would like to raise about XAI?
3/24/2022 15:34:26,Female,22,Completed High School,Unoccupied,Unoccupied,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,3,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,1,2,5,4,"Easy to understand - Expect no technical expertise from me, Consistent - Provide similar explanations for similar/neighboring examples",
3/24/2022 15:48:54,Male,32,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Australia,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(a),3,1,2,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,4,1,2,3,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples",
3/24/2022 16:15:37,Male,23,Completed High School,"Education, Training, and Library",Unoccupied,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(b),1,2,3,5,4,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,1,2,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I would like to have easy to understand explanations, but with some technical aspects as well.",
3/24/2022 17:40:18,Female,33,Completed Post Graduate Degree,Management,Management level,Sri Lanka,None of the above,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(a),(b),(a),(a),4,5,3,2,1,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,4,5,2,1,3,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/24/2022 18:27:40,Female,22,Completed High School,Unoccupied,Unoccupied,Sri Lanka,None of the above,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(b),(b),(b),(b),3,1,2,4,5,"An overall explanation of how the AI system works - once for the application, An explanation for every decision made by the AI system - once per decision, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,1,4,2,5,"Easy to understand - Expect no technical expertise from me, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/24/2022 19:27:00,Male,23,Completed High School,Unoccupied,Unoccupied,Sri Lanka,None of the above,Yes,Yes,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(b),(b),(b),2,4,3,1,5,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,5,2,4,3,1,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/24/2022 20:21:56,Male,28,Completed Post Graduate Degree,Other,Middle level,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(a),(a),(a),1,2,3,5,4,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/25/2022 8:36:17,Female,28,Completed Undergraduate Degree,"Education, Training, and Library",Unoccupied,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),4,5,3,2,1,Explanation per decision if requested,An explanation explaining why AI made a certain decision,5,4,3,1,2,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/25/2022 10:22:21,Male,33,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),3,1,2,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/25/2022 10:24:44,Female,34,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Sri Lanka,None of the above,Yes,No,Yes,Important,I need an explanation for both decisions,(a),(b),(a),(a),3,5,4,1,2,An overall explanation of how the AI system works - once for the application,An explanation explaining how you can change AI's decision in the future,2,1,3,4,5,"Faithful - Reflect the actual reasoning of the AI system, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
